External Library Name, Link to License, License Name, Binaries using the license, URL
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, ./emulator lib64/libshadertranslator.dylib gfxstream_backend.dylib, https://chromium.googlesource.com/angle/angle
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
Qt Core, https://doc.qt.io/qt-6.5/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64 ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://chromium.googlesource.com/webm/libvpx/
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libswiftshader_libGLESv2.dylib lib64/gles_angle/libswiftshader_libEGL.dylib ./emulator lib64/gles_angle/libEGL.dylib lib64/gles_angle/libvk_swiftshader.dylib lib64/gles_angle/libGLESv2.dylib, https://chromium.googlesource.com/angle/angle
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64-headless libprotobuf.dylib emugl_common.dylib gfxstream_backend.dylib android-emu-metrics.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-protos.dylib android-emu-shared.dylib ./nimble_bridge ./qemu-img ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 android-emu-tracing.dylib ./qsn ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, 
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator lib64/vulkan/libvulkan.dylib lib64/vulkan/libMoltenVK.dylib lib64/vulkan/libvk_swiftshader.dylib, https://vulkan.lunarg.com/sdk/home
Qt Svg, https://doc.qt.io/qt-6.5/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
flatbuffers, Apache-2.0, Apache-2.0, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://github.com/google/flatbuffers
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/resize2fs bin64/tune2fs bin64/fsck.ext4 ./emulator bin64/mkfs.ext4 bin64/e2fsck, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img android-emu-agents.dylib ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img android-emu-agents.dylib ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-curl.dylib ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-curl.dylib ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, android-emu-shared.dylib ./nimble_bridge ./qemu-img android-emu-agents.dylib ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./nimble_bridge ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
Qt Gui, https://doc.qt.io/qt-6.5/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
